spelling,province_id
KKAG_(FM),12
KKGL,12
KLIX-FM,12
KLZX,12
KMGI_(FM),12
KOFE,12
KORT_(AM),12
KPKY,12
KQEO,12
KQZB,12
KSEI,12
KSNQ,12
KTHI,12
KZID,12
KZKY,12
WCEZ,13
WCSJ_(AM),13
WCSJ-FM,13
WDBQ-FM,13
WDKR,13
WDLJ,13
WDML,13
WDRV,13
WERV-FM,13
WEXG,13
WFRL,13
WFXF,13
WGLO,13
WGRG-LP,13
WIKK,13
WILY,13
WINI,13
WIQI,13
WIRL,13
WJEQ,13
WJEZ,13
WJLI,13
WKGL-FM,13
WKIO,13
WKRV,13
WLLT,13
WLS-FM,13
WMMC,13
WMQZ,13
WNSV,13
WPBG,13
WPNV-LP,13
WPWQ,13
WQKQ,13
WQLF,13
WQQL,13
WQRL,13
WQUD,13
WRAN_(FM),13
WREE,13
WRHK,13
WROY,13
WRSE,13
WRXQ,13
WSEY,13
WSQR,13
WUEZ,13
WVLI,13
WWDV,13
WWGO,13
WWVR_(FM),13
WXLP,13
WYMG,13
WYUR,13
WYYS,13
WZOE-FM,13
WABX,14
WAKE_(AM),14
WAMW-FM,14
WASK-FM,14
WAWK,14
WAXI,14
WBAT,14
WBOW_(FM),14
WBTO-FM,14
WBZQ,14
WCJZ,14
WCLS,14
WCVL_(AM),14
WERK,14
WIBN,14
WIMC,14
WINN,14
WIOE,14
WJCP,14
WJEF,14
WJJK,14
WJOT_(AM),14
WJOT-FM,14
WJPR,14
WJPS,14
WKPW,14
WLDE,14
WLHM,14
WLPK,14
WLQI,14
WMXQ,14
WOCC,14
WQRK,14
WQTY,14
WROI,14
WRSW-FM,14
WRZR,14
WSEZ,14
WSFR,14
WSJD,14
WSKL,14
WTCA,14
WWWY,14
WXCH,14
WXGO,14
WXKE,14
WXRD,14
WXXC,14
WYXX,14
WZOC,14
KCFI,15
KCHA_(AM),15
KCHE-FM,15
KCII_(AM),15
KCII-FM,15
KCRR,15
KDLS_(AM),15
KDTH,15
KEDB,15
KGGO,15
KIFG_(AM),15
KIFG-FM,15
KIIK-FM,15
KIOA,15
KIWA-FM,15
KIYX,15
KKFD-FM,15
KKMA,15
KKSI,15
KLEE,15
KLKK,15
KMRV,15
KMRY,15
KMZN,15
KNOD,15
KOKZ,15
KRNA,15
KROS,15
KSOU_(AM),15
KSWI,15
KTLB,15
KUDV,15
KUQQ,15
KVIK,15
KXGE,15
KYTC_(FM),15
KZLB,15
KZWC,15
KACY,16
KAHE,16
KAYS_(AM),16
KBBE,16
KCMO-FM,16
KEYN-FM,16
KFIX,16
KFXJ,16
KGGF-FM,16
KINZ,16
KKCI,16
KMDO,16
KMMM,16
KNCK_(AM),16
KNZS,16
KOMB,16
KQNK_(AM),16
KQNK-FM,16
KSAL-FM,16
KSEK-FM,16
KSNP_(FM),16
KVGB-FM,16
KWHK,16
KWIC_(FM),16
KZRS,16
WAKY_(AM),17
WAKY-FM,17
WANV,17
WBVX,17
WCBJ,17
WCBL-FM,17
WCLU_(AM),17
WCNX-LP,17
WCXE-LP,17
WCYN_(AM),17
WDNS,17
WEKB,17
WEKY,17
WFXY,17
WGKY,17
WHVO,17
WIRV,17
WKCB-FM,17
WKCX,17
WKDZ_(AM),17
WKRI-LP,17
WKTG,17
WKYA,17
WKYD-LP,17
WKYM,17
WKYW,17
WLBN,17
WLBQ,17
WLGC-FM,17
WMJL-FM,17
WNKW,17
WOKT,17
WPKE_(AM),17
WPKE-FM,17
WPKY,17
WPTQ,17
WRVG-LP,17
WRZI,17
WSIP_(AM),17
WSON,17
WTTL_(AM),17
WVJS,17
WWRW,17
WXKZ-FM,17
WXLR,17
WXMZ,17
WYMC,17
WZQQ,17
KASO,18
KBNF-LP,18
KBRH,18
KDLC_(FM),18
KFNV-FM,18
KFTE,18
KHLA,18
KLIL,18
KLIP,18
KLKL,18
KLLA,18
KNCB_(AM),18
KPCH,18
KTSR,18
KVMA-FM,18
KVOL,18
KVPI-FM,18
KWCL-FM,18
KWXM,18
KYBG,18
KZBL,18
KZKR,18
KZMZ,18
WDGL,18
WKBU,18
WRQQ,18
WTGG,18
WTIX-FM,18
WWWL,18
WABK_(AM),19
WABK-FM,19
WALZ-FM,19
WBAK,19
WBKA_(FM),19
WBYA,19
WCTB,19
WFNK,19
WHOU-FM,19
WJTO,19
WJZN,19
WKIT-FM,19
WLAM,19
WLVP,19
WNSX,19
WOZI,19
WQDY-FM,19
WSHK,19
WWMJ,19
WWSF,19
WXEX-FM,19
WYNZ,19
WZON,19
WAVD,20
WDZN,20
WGBG-FM,20
WHAG_(AM),20
WIAD,20
WJKI_(AM),20
WKTZ-FM,20
WMDM,20
WMSG,20
WNAV,20
WQLL,20
WRQE,20
WTBO,20
WTDK,20
WTHU,20
WWEG,20
WXSH,20
WZBA,20
WACM_(AM),21
WAQY,21
WARA_(AM),21
WARE,21
WCAP_(AM),21
WCIB,21
WFAT,21
WGFP,21
WGTX,21
WJDF,21
WKFY,21
WROR-FM,21
WTBR-FM,21
WUBG_(AM),21
WUPE_(AM),21
WUPE-FM,21
WWFX,21
WXRB,21
WBET-FM,22
WBZV,22
WCCW_(AM),22
WCCW-FM,22
WCHY_(FM),22
WCKC,22
WCSX,22
WCSY-FM,22
WDEE-FM,22
WDLP-LP,22
WEEH-LP,22
WERW_(FM),22
WFCX,22
WFDX,22
WFGR,22
WGFN,22
WGHN_(AM),22
WGKL,22
WGLI,22
WGLM-FM,22
WGTO,22
WGVS_(AM),22
WGVU_(AM),22
WHAK-FM,22
WHMI-FM,22
WHTO,22
WHYB,22
WIDL,22
WILZ,22
WIMI,22
WIMK,22
WJMK_(AM),22
WKJZ,22
WKLA_(AM),22
WKLT,22
WKLZ-FM,22
WKYO,22
WLAV-FM,22
WLCS,22
WLEW-FM,22
WLMI,22
WMJT,22
WMJZ-FM,22
WMLZ-LP,22
WMMQ,22
WMPA,22
WMPX_(AM),22
WMRX-FM,22
WMTE-FM,22
WNBY-FM,22
WNGE,22
WOAP,22
WOLV_(FM),22
WOMC,22
WOWE,22
WPON,22
WQLB,22
WQUS,22
WQXC-FM,22
WQXO,22
WRKR,22
WRPP,22
WRSR,22
WRUP,22
WTVB,22
WUGM-LP,22
WUPF,22
WUPK,22
WUPN_(FM),22
WUPS,22
WUPT_(FM),22
WWKR,22
WWMK_(FM),22
WWTH,22
WYVN,22
WZUU,22
KAKK,23
KARZ_(FM),23
KBAJ,23
KBEK,23
KBEW_(AM),23
KCHK-FM,23
KDJS_(AM),23
KDMA-FM,23
KFMC-FM,23
KGFK_(AM),23
KGHS_(AM),23
KHRS,23
KISD_(FM),23
KITN_(FM),23
KLCH,23
KLDJ,23
KLFN,23
KLIZ-FM,23
KLLZ-FM,23
KLZZ,23
KMGM,23
KOWZ_(AM),23
KOZY_(AM),23
KQCL,23
KQDS-FM,23
KQEG_(FM),23
KQPR,23
KQRS-FM,23
KRBI-FM,23
KRFO_(AM),23
KRIV-FM,23
KRJM,23
KRPR,23
KRWB_(AM),23
KUAL-FM,23
KULO,23
KUXX,23
KVGO,23
KWNG,23
KXDL,23
KXLP,23
KXRA-FM,23
KZRV,23
WCMP_(AM),23
WEBC,23
WKLK-FM,23
WLKX-FM,23
WMFG-FM,23
WMOZ,23
WQPM,23
WABG_(AM),24
WAFM_(United_States),24
WAGR-FM,24
WBYB_(FM),24
WCJU_(AM),24
WCJU-FM,24
WFFF-FM,24
WGCM-FM,24
WGDQ,24
WGNL,24
WGRM-FM,24
WGVM,24
WKOZ-FM,24
WKZB_(FM),24
WLZA,24
WNAU,24
WOHT,24
WOXD,24
WROX_(AM),24
WSKK,24
WVBG-FM,24
WXRR,24
WYMX,24
KAAN_(AM),25
KBDZ,25
KCAX,25
KCBW,25
KCFX,25
KCHI_(AM),25
KCHI-FM,25
KCHR,25
KCMQ,25
KCRV-FM,25
KDBB,25
KDFN,25
KDKD_(AM),25
KGKS,25
KGMO,25
KHBL-LP,25
KIRK_(FM),25
KIRX,25
KJMK,25
KJMO,25
KKID,25
KKLH,25
KKWK,25
KLID,25
KMYK,25
KNIM_(AM),25
KOKO_(AM),25
KOZQ-FM,25
KOZX,25
KPOW-FM,25
KQUL,25
KRXL,25
KSPQ,25
KVVL,25
KXDG,25
KXEA,25
KXMO-FM,25
KXOQ,25
KXUS,25
KYMO_(AM),25
KZQZ,25
KZZK,25
KZZT,25
KANA,26
KATQ-FM,26
KBBZ,26
KBZM,26
KGCX,26
KGEZ,26
KHDV,26
KIBG,26
KJJM_(FM),26
KKGR,26
KKQX,26
KLFM,26
KMBR,26
KMHK,26
KMTA,26
KOFI,26
KQRV,26
KRWS-LP,26
KTZZ,26
KVCK_(AM),26
KWMY,26
KWOL-FM,26
KWYS_(AM),26
KXTL,26
KZMN,26
KZMT,26
KZOQ-FM,26
KADL,27
KAWL,27
KBBN-FM,27
KBRB-FM,27
KBRX_(AM),27
KCOW,27
KCTY_(AM),27
KFMT-FM,27
KGMT,27
KHAQ,27
KKCD,27
KKOT,27
KKPR-FM,27
KLNC,27
KMOR_(FM),27
KNEN,27
KNLV_(AM),27
KOBM_(AM),27
KOBM-FM,27
KOOO,27
KQHK,27
KRGY,27
KROR,27
KSID-FM,27
KTGL,27
KTNC_(AM),27
KUVR_(AM),27
KKLZ,28
KNEZ_(FM),28
KNYE,28
KOZZ-FM,28
KQMC,28
KUEZ,28
KXPT,28
WEZS,29
WFNQ,29
WFYX,29
WGAM,29
WGHM,29
WHDQ,29
WKDR,29
WLKZ,29
WLTN_(AM),29
WMLL,29
WMOU,29
WMTK,29
WMVX_(AM),29
WOXX,29
WSAK,29
WXEX_(AM),29
WADB_(AM),30
WBHX,30
WCHR-FM,30
WCMC_(AM),30
WGHT,30
WHTG_(AM),30
WIBG-FM,30
WJRZ-FM,30
WJSE,30
WKXW,30
WMID,30
WMTR_(AM),30
WOBM_(AM),30
WPPZ-FM,30
WRRC,30
WTKU-FM,30
WTOC_(AM),30
WVLT_(FM),30
WWZY,30
WZXL,30
KABG,31
KATK_(AM),31
KBNM-LP,31
KBUY,31
KCCC_(AM),31
KCRX_(AM),31
KDSK_(AM),31
KDSK-FM,31
KEDP,31
KEDU-LP,31
KEJL,31
KICA_(AM),31
KIDX,31
KIOT,31
KKYC,31
KLEA_(FM),31
KNFT_(AM),31
KNMJ,31
KOLZ,31
KPSA-FM,31
KQAY-FM,31
KQEL,31
KRMQ-FM,31
KRWN,31
KSFX_(AM),31
KSNM,31
KVLC,31
KWML,31
KXXI,31
KYVA-FM,31
WAAL,32
WAXQ,32
WBAB,32
WBPM,32
WBRV_(AM),32
WBWZ,32
WBZO,32
WCBS-FM,32
WCDW,32
WCGR,32
WCIZ-FM,32
WCKM-FM,32
WCMF-FM,32
WCSS,32
WDHI,32
WDNY_(AM),32
WDNY-FM,32
WDOE,32
WELJ,32
WFLK_(FM),32
WGMM,32
WGNY_(AM),32
WGNY-FM,32
WGRF,32
WGWE,32
WHFM,32
WHNB,32
WHTT-FM,32
WICY,32
WIII_(FM),32
WJJL,32
WJQZ,32
WKAJ,32
WKOL,32
WKSN,32
WLEA,32
WLGZ-FM,32
WLIR-FM,32
WLIX-LP,32
WLLW_(FM),32
WLNG,32
WMBO_(AM),32
WMCR_(AM),32
WMSA,32
WNBZ-FM,32
WNGZ,32
WNRS_(AM),32
WNYQ,32
WNYY,32
WODZ-FM,32
WOTT_(FM),32
WOUR,32
WPAC_(FM),32
WPHD_(FM),32
WPLB_(AM),32
WQBJ,32
WQBK-FM,32
WQRS,32
WRCD,32
WROW,32
WSBU,32
WSEN_(FM),32
WTKV,32
WTKW,32
WVOS_(AM),32
WVOS-FM,32
WVTK,32
WWWS,32
WXHC,32
WXTL,32
WZHD,32
WZOZ,32
WZUN-FM,32
WAIZ,33
WAVQ_(AM),33
WBLA,33
WCLN_(AM),33
WDZD-LP,33
WEGO_(AM),33
WERX-FM,33
WFJA,33
WFMZ_(FM),33
WFSC,33
WGBR,33
WGSB_(AM),33
WHIP_(AM),33
WHYC,33
WJRI,33
WKGX,33
WKIX-FM,33
WKRR,33
WKTE,33
WKXB,33
WKXS-FM,33
WLNC,33
WLON,33
WLSG,33
WLWL,33
WLXN,33
WMRV_(AM),33
WNCT-FM,33
WNNC,33
WOBR-FM,33
WOHS,33
WPTK,33
WQNS,33
WRXO,33
WSAT,33
WSFL-FM,33
WSMX_(AM),33
WSQL,33
WSVM,33
WSYD,33
WTOB_(AM),33
WTOE,33
WTRG,33
WTZQ,33
WWCU,33
WXRC,33
WZJS,33
WZKY,33
WZOO_(AM),33
WZPR,33
KACL_(FM),34
KAUJ,34
KBYZ,34
KDAK,34
KDIX,34
KDVL,34
KEGK,34
KHND,34
KNDC,34
KNDK-FM,34
KPFX,34
KRRZ,34
KTZU,34
KXGT,34
KXRV,34
WAGX,35
WATH,35
WBIK,35
WBNO-FM,35
WBNV,35
WBUK,35
WDBZ,35
WDEQ-FM,35
WDJO,35
WDLR,35
WDLW,35
WDOH,35
WDTZ-LP,35
WEGE,35
WFXJ-FM,35
WGRR,35
WKKI,35
WKSD,35
WKTX,35
WKVX,35
WLGN,35
WLKR_(AM),35
WLVQ,35
WMTR-FM,35
WMVO,35
WMWX,35
WNCX,35
WNKO,35
WNND,35
WNNP,35
WNTO,35
WOFX-FM,35
WOHF,35
WOHI,35
WOHP-LP,35
WONB,35
WONE-FM,35
WPTW,35
WQCT,35
WQEL,35
WQGR,35
WQTT,35
WRKD-LP,35
WRPO-LP,35
WRQN,35
WRZX_(FM),35
WSTB,35
WSWO-LP,35
WTTF,35
WVXG,35
WWOW,35
WXKR,35
WYBZ,35
WYNS,35
WYRO,35
WYVK,35
WZLR,35
WZOO-FM,35
WZZZ,35
KALV_(AM),36
KBEZ,36
KDDQ,36
KEMX,36
KGFF,36
KGLC,36
KHIM,36
KIZS,36
KJOK,36
KJSR,36
KKRE,36
KKZU,36
KLOR-FM,36
KLSI_(FM),36
KOKL,36
KOMA_(FM),36
KPRV-FM,36
KSEO,36
KSLE,36
KTAT,36
KTLS-FM,36
KTMC-FM,36
KVRO,36
KWCO-FM,36
KXOO,36
KYNZ,36
KACI-FM,37
KAJO,37
KBOY-FM,37
KBZY,37
KCNA_(FM),37
KCRF-FM,37
KDCQ,37
KDUN,37
KFEG,37
KFXX-FM,37
KGON,37
KISN_(Portland),37
KJMX,37
KKBC-FM,37
KKNX,37
KKOO_(AM),37
KLDZ,37
KLJN,37
KLKY,37
KLOO-FM,37
KLYC,37
KMSW,37
KODZ,37
KPIK-LP,37
KPPT-FM,37
KQAK,37
KQRZ-LP,37
KRJT,37
KSWB_(AM),37
KTIL_(AM),37
KTWS,37
KUMA-FM,37
KURY-FM,37
KZEL-FM,37
WABT_(FM),38
WAPY,38
WBPZ,38
WBRR,38
WBUS,38
WBVE,38
WBXQ,38
WBZD-FM,38
WCCL,38
WCHA_(AM),38
WCPA_(AM),38
WDAD,38
WEGH,38
WEZX,38
WGMF_(AM),38
WGRP,38
WHJB,38
WHNA,38
WHUN_(AM),38
WHUN-FM,38
WHVR,38
WHYL,38
WJNG,38
WJPA,38
WKFB,38
WKMC,38
WKPL_(FM),38
WKQL,38
WKVA,38
WKVE,38
WLUI,38
WMCE-FM,38
WMGK,38
WMKX,38
WMMZ,38
WMSS,38
WMTT,38
WMVL,38
WNDA,38
WNNA,38
WODE-FM,38
WOGA_(FM),38
WOGL,38
WOWY,38
WPKL,38
WPZX,38
WQCM,38
WQFX-FM,38
WQHZ,38
WQKY,38
WQZS,38
WRGG-LP,38
WRQI,38
WRQW,38
WRRN,38
WRVV,38
WSOX,38
WSQV,38
WTRW,38
WTTC_(AM),38
WTTC-FM,38
WTZN,38
WWIZ,38
WWRR,38
WWSW-FM,38
WYCR,38
WYCY,38
WYFM,38
WZMF_(AM),38
WSKP_(AM),39
WWBB,39
WWRI-LP,39
WAHP,40
WASC_(AM),40
WCRE,40
WDEK,40
WDKD,40
WEBK,40
WHHW,40
WHYM,40
WKSX-FM,40
WLHH,40
WLMC,40
WLTE,40
WMXT,40
WNBK_(FM),40
WNMB,40
WOLH,40
WOMG,40
WPUB-FM,40
WQKI-FM,40
WQNT,40
WRBK,40
WROO,40
WROQ,40
WRTH_(FM),40
WRWN,40
WRZE,40
WSYN,40
WVCO,40
WVGB,40
WWHM,40
WWRK,40
WYAV,40
WYPJ,40
KBJM,41
KDBX,41
KDSJ,41
KFMH,41
KFXS,41
KJBI,41
KJRV,41
KKSD,41
KMSD,41
KQRQ,41
KSDN-FM,41
KUQL,41
KVAR_(FM),41
KVHT,41
KWYR-FM,41
KXLG,41
KYBB,41
WBOL,42
WCDZ,42
WCPH,42
WCRK,42
WDEB_(AM),42
WDNT,42
WDXI,42
WEKX,42
WENK,42
WFLI_(AM),42
WHDM,42
WHHG,42
WHPY-FM,42
WIHG,42
WIMZ-FM,42
WKCS,42
WKOM,42
WKSR_(AM),42
WLAR,42
WLCD-LP,42
WLIK,42
WMLR,42
WMTY-FM,42
WMXX-FM,42
WNOX,42
WNRX,42
WORM_(AM),42
WOWW,42
WPLZ,42
WQKR,42
WQMV,42
WQUT,42
WRHA,42
WRQR_(AM),42
WSKZ,42
WSMG,42
WTNK,42
WTNQ,42
WTPR_(AM),42
WTPR-FM,42
WTRO_(AM),42
WUMY_(AM),42
WVLZ_(AM),42
WVOL,42
WWON_(AM),42
WWON-FM,42
WWYN,42
WYXI,42
KALK,43
KATX,43
KBNX,43
KBPC,43
KBUS,43
KBYG,43
KCCT,43
KCJV-LP,43
KCLL,43
KCOH,43
KCOL-FM,43
KCSA-LP,43
KDDD-FM,43
KDOK,43
KEFH,43
KEOM,43
KETX-FM,43
KEWL-FM,43
KFZX,43
KGLK,43
KGTN-LP,43
KGVL,43
KHBW,43
KHDY-FM,43
KHPT,43
KHRO,43
KHVL,43
KHXS,43
KITY,43
KIXT,43
KKCL-FM,43
KKHA,43
KKLF,43
KKTX-FM,43
KKVR,43
KLBB-FM,43
KLBJ-FM,43
KLDE,43
KLTD,43
KLUV,43
KMAD-FM,43
KMCM,43
KNEL_(AM),43
KNRX,43
KNTX,43
KOFX,43
KONE_(FM),43
KONO_(AM),43
KONO-FM,43
KOTY,43
KPRF,43
KPUS,43
KRBL,43
KRVL,43
KSQX,43
KSST,43
KTAI,43
KTAL-FM,43
KTBQ,43
KTKX,43
KTLU,43
KTTY,43
KTUX,43
KULL,43
KWFR,43
KWKQ,43
KWMC_(AM),43
KXGL,43
KXIT_(AM),43
KYQX,43
KYYI,43
KZAM_(FM),43
KZPS,43
KZQX,43
KBDX,44
KCUA,44
KGNT,44
KLGL,44
KRQX-FM,44
KRSP-FM,44
KTMP,44
KZHK,44
WCFR,45
WDVT,45
WEVT-LP,45
WIZN,45
WKKN,45
WOTX,45
WRFK_(FM),45
WTHK,45
WWOD,45
WABN,46
WAFX,46
WBTL_(AM),46
WBTM,46
WCGX,46
WDIC-FM,46
WESR-FM,46
WGH_(AM),46
WGRQ,46
WGVY,46
WHEO,46
WHTU,46
WKLR,46
WKLV_(AM),46
WKMZ-LP,46
WKSK-FM,46
WOLD-FM,46
WQMR-LP,46
WRAD,46
WREN-LP,46
WRTZ,46
WSLK,46
WTON-FM,46
WUDS-LP,46
WUKZ,46
WVEK-FM,46
WVMP,46
WWDN,46
WWND-LP,46
WWRE,46
WWUZ,46
WWWV,46
WWZW,46
WXBX,46
WXJK,46
WXVA,46
WZFM,46
WZGN,46
WZRV,46
WZZI,46
WZZU,46
KARY-FM,47
KBAI,47
KBRC,47
KCFL-LP,47
KCSY,47
KDUX-FM,47
KEGX,47
KEYF-FM,47
KEYG-FM,47
KGHO-LP,47
KHTR,47
KISM,47
KITI_(AM),47
KJRB,47
KMGW_(FM),47
KPKL,47
KPQ-FM,47
KRKO,47
KRQT,47
KRSE,47
KSTI,47
KVAB,47
KYOZ,47
WAXE-LP,48
WAXS,48
WBWO-LP,48
WCBC-FM,48
WELD_(AM),48
WELK,48
WETZ,48
WFBY,48
WFSP-FM,48
WKCJ,48
WKOY-FM,48
WKQV,48
WMOV_(AM),48
WMTD_(AM),48
WMXE,48
WQAZ-LP,48
WRLF,48
WRQY,48
WRRL,48
WRZZ,48
WSGB,48
WUKL,48
WVAR,48
WVRW,48
WWLW,48
WXCR,48
WAPL,49
WATK,49
WAUH,49
WBGR-FM,49
WBOG,49
WDGY,49
WDLB,49
WFDL_(AM),49
WGBW,49
WGLX-FM,49
WGMO,49
WHRY,49
WHTL-FM,49
WIBD,49
WISM-FM,49
WISS_(AM),49
WJBL,49
WJJH,49
WJMT,49
WKBH-FM,49
WKCH,49
WKFX,49
WKLH,49
WKRU,49
WLAK_(AM),49
WLKD,49
WMDC_(FM),49
WMQA-FM,49
WNXR,49
WOGB,49
WOLX-FM,49
WOWN,49
WPCN,49
WPDR,49
WPRE,49
WQDC,49
WQTC-FM,49
WRDB,49
WRIT-FM,49
WRJO,49
WRLO-FM,49
WRPN_(AM),49
WSPT,49
WTMB,49
WVBO,49
WVRQ_(AM),49
WXCE,49
WXCO,49
WZTI,49
KADQ-FM,50
KARS-FM,50
KASS,50
KCGL,50
KCYA,50
KDDV-FM,50
KDLY,50
KFCW,50
KGCC,50
KGRK,50
KHRW,50
KIGN,50
KKRR_(FM),50
KKTY_(AM),50
KMER,50
KMLD,50
KQOL_(FM),50
KRAE,50
KRBR_(FM),50
KRQU,50
KRRR,50
KTGA,50
KVGL,50
KWHO,50
KXJW,50
KXXL,50
KYOY,50
KZJH,50
KZMQ_(AM),50
KZQL,50
KZWB,50
CKBA-FM,51
CFGQ-FM,51
CFXL-FM,51
CFCW-FM,51
CJXK-FM,51
CKRA-FM,51
CIRK-FM,51
CHFT-FM,51
CIKT-FM,51
CKVH-FM,51
CILB-FM,51
CJUV-FM,51
CFMI-FM,51
CKRI-FM,51
CFDV-FM,51
CHSL-FM,51
CKJR_(AM),51
CFXW-FM,51
CFMI-FM,52
CHWK-FM,52
CIRK-FM,52
CKFU-FM,52
CKNL-FM,52
CKFR_(AM),52
CKKO-FM,52
CKOO-FM,52
CKDV-FM,52
CKOR_(AM),52
CKAY-FM,52
CHMZ-FM,52
CHPO-FM,53
CJPG-FM,53
CILT-FM,53
CJVM-FM,53
CITI-FM,53
CHIQ-FM,53
CJRP-FM,54
CFQM-FM,54
CJYC-FM,54
CFLN-FM,55
VOCM-FM,55
CKSJ-FM,55
CKXX-FM,55
CKXD-FM,55
CKXG-FM,55
CHNS-FM,56
CIJK-FM,56
CKEZ-FM,56
CHER-FM,56
CKTO-FM,56
CIQB-FM,57
